run	opticsID	nominal_foil_z_cm	fit_mean_cm	fit_sigma_cm	mean_minus_nominal_cm	delta_low	delta_high	fit_low	fit_high	entries	replay_file
1540	1540	-8	-7.64918	0.494938	0.350823	-8	8	-8.38333	-6.88333	110410	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_1540_1_-1.root
1540	1540	8	8.13859	0.478674	0.138589	-8	8	7.41667	8.91667	110410	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_1540_1_-1.root
1544	1544	0	0.174603	0.472875	0.174603	-8	8	-0.583333	0.916667	295843	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_1544_1_-1.root
51600	51600	-3	-3.10227	0.449343	-0.10227	-8	8	-3.91667	-2.41667	31400	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_51600_1_-1.root
51600	51600	3	3.23077	0.430556	0.230766	-8	8	2.48333	3.98333	31400	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_51600_1_-1.root
5162	5162	0	0.0582609	0.422469	0.0582609	-8	8	-0.65	0.85	31158	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_5162_1_-1.root
51640	51640	-8	-7.80493	0.433358	0.195075	-8	8	-8.58333	-7.08333	36566	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_51640_1_-1.root
51640	51640	8	7.94845	0.434315	-0.0515458	-8	8	7.15	8.65	36566	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_51640_1_-1.root
69820	69820	0	-0.0373405	0.466658	-0.0373405	-8	8	-0.783333	0.716667	806832	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_69820_1_-1.root
69840	69840	-8	-7.89255	0.49778	0.107447	-8	8	-8.58333	-7.08333	58403	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_69840_1_-1.root
69840	69840	8	7.89043	0.493342	-0.10957	-8	8	7.08333	8.58333	58403	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_69840_1_-1.root
6985	6985	-3	-3.21305	0.487684	-0.213052	-8	8	-3.85	-2.35	71272	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_6985_1_-1.root
6985	6985	3	3.08065	0.498887	0.0806544	-8	8	2.28333	3.78333	71272	/lustre24/expphy/volatile/hallc/nps/cploen/ROOTfiles/OPTICS/angular_sandbox/newfit_6p667_20260526_1226_and_offsets/rootfiles/nps_hms_optics_6985_1_-1.root
